no,Country,Region,population,birth rate per 1000,death rate per 1000,median age,labor force,unemployment (%),GDP per capita (US$),physician density (physicians/1000 population),Health expenditure (% of GDP),Total area,Land borders,Life expectancy at birth 1960,Life expectancy at birth 1970,Life expectancy at birth 1980,Life expectancy at birth 1990,Life expectancy at birth 2000,Life expectancy at birth 2010
88,Bhutan,Asia,766397,17,6.4,28.1,397900,3.2,9000,0.37,3.6,38394,Yes,34.53,39.64,45.46,52.88,60.76,67.79
89,Brunei,Asia,450565,16.9,3.7,30.5,203600,6.9,78900,1.77,2.6,5765,Yes,62.47,66.93,70.23,72.92,75.2,76.72
90,Cambodia,Asia,16449519,22.5,7.4,25.7,8913000,0.3,4000,0.17,5.7,181035,Yes,41.24,41.57,27.54,53.6,58.43,66.56
91,China,Asia,1384688986,12.1,8,37.7,806700000,3.9,16700,1.79,5.5,9596960,Yes,43.73,59.09,66.84,69.29,71.96,75.24
92,Gaza Strip,Asia,1836713,30.5,3,17.4,1240000,27.9,NA,2.2,NA,360,Yes,NA,NA,NA,NA,NA,NA
93,Georgia,Asia,4926087,12.1,10.9,38.3,1998000,11.8,10700,5.1,7.4,69700,Yes,63.65,67.45,69.7,70.27,71.91,72.65
94,Hong Kong,Asia,7213338,8.8,7.6,44.8,3965000,3.1,61500,1.93,NA,1108,Yes,66.96,71.39,74.67,77.38,80.88,82.98
95,India,Asia,1296834042,18.7,7.3,28.1,521900000,8.5,7200,0.78,4.7,3287263,Yes,41.17,47.72,53.84,57.92,62.58,66.63
96,Indonesia,Asia,262787403,15.9,6.5,30.5,125000000,5.4,12400,0.38,2.8,1904569,Yes,48.65,54.54,59.62,63.28,66.29,68.15
97,Iran,Asia,83024745,17.4,5.3,30.8,30500000,11.8,20100,1.14,6.9,1648195,Yes,44.95,50.86,54.11,63.83,70.14,73.93
98,Iraq,Asia,40194216,30,3.8,20.2,8900000,16,16700,0.82,5.5,438317,Yes,48.02,58.2,60.13,66.12,69.17,68.47
99,Israel,Asia,8424904,17.9,5.2,30.1,4021000,4.2,36400,3.22,7.8,20770,Yes,NA,71.21,73.88,76.61,78.95,81.6
100,Japan,Asia,126168156,7.5,9.9,47.7,65010000,2.9,42900,2.41,10.2,377915,No,67.67,71.95,76.09,78.84,81.08,82.84
101,Jordan,Asia,10458413,23.6,3.4,22.8,2295000,18.3,9200,2.34,7.5,89342,Yes,52.65,60.17,66.21,69.87,71.73,73.41
102,Kazakhstan,Asia,18744548,17.5,8.2,30.9,8970000,5,26300,3.25,4.4,2724900,Yes,58.37,62.28,66.62,68.34,65.52,68.3
103,"Korea, North",Asia,25381085,14.6,9.3,34.2,14000000,25.6,1700,3.67,NA,120538,Yes,51.3,59.66,66.19,69.9,65.27,69.57
104,"Korea, South",Asia,51418097,8.3,6.3,42.3,27750000,3.7,39500,2.37,7.4,99720,Yes,53,62.16,66.05,71.6,75.91,80.12
